job_id,panel,alpha_hex,delta_hex,alpha_description,delta_description,value_score
bit_a113_d113_off+000,bit_positions,00000000000000000000000000004000,00000000000000000000000000004000,"single bit 113 (byte 14, bit-in-byte 1, MSB-first)","single bit 113 (byte 14, bit-in-byte 1, offset +0)",
bit_a114_d114_off+000,bit_positions,00000000000000000000000000002000,00000000000000000000000000002000,"single bit 114 (byte 14, bit-in-byte 2, MSB-first)","single bit 114 (byte 14, bit-in-byte 2, offset +0)",
bit_a115_d115_off+000,bit_positions,00000000000000000000000000001000,00000000000000000000000000001000,"single bit 115 (byte 14, bit-in-byte 3, MSB-first)","single bit 115 (byte 14, bit-in-byte 3, offset +0)",
bit_a116_d116_off+000,bit_positions,00000000000000000000000000000800,00000000000000000000000000000800,"single bit 116 (byte 14, bit-in-byte 4, MSB-first)","single bit 116 (byte 14, bit-in-byte 4, offset +0)",
bit_a117_d117_off+000,bit_positions,00000000000000000000000000000400,00000000000000000000000000000400,"single bit 117 (byte 14, bit-in-byte 5, MSB-first)","single bit 117 (byte 14, bit-in-byte 5, offset +0)",
bit_a118_d118_off+000,bit_positions,00000000000000000000000000000200,00000000000000000000000000000200,"single bit 118 (byte 14, bit-in-byte 6, MSB-first)","single bit 118 (byte 14, bit-in-byte 6, offset +0)",
bit_a119_d119_off+000,bit_positions,00000000000000000000000000000100,00000000000000000000000000000100,"single bit 119 (byte 14, bit-in-byte 7, MSB-first)","single bit 119 (byte 14, bit-in-byte 7, offset +0)",
bit_a120_d120_off+000,bit_positions,00000000000000000000000000000080,00000000000000000000000000000080,"single bit 120 (byte 15, bit-in-byte 0, MSB-first)","single bit 120 (byte 15, bit-in-byte 0, offset +0)",
bit_a121_d121_off+000,bit_positions,00000000000000000000000000000040,00000000000000000000000000000040,"single bit 121 (byte 15, bit-in-byte 1, MSB-first)","single bit 121 (byte 15, bit-in-byte 1, offset +0)",
bit_a122_d122_off+000,bit_positions,00000000000000000000000000000020,00000000000000000000000000000020,"single bit 122 (byte 15, bit-in-byte 2, MSB-first)","single bit 122 (byte 15, bit-in-byte 2, offset +0)",
bit_a123_d123_off+000,bit_positions,00000000000000000000000000000010,00000000000000000000000000000010,"single bit 123 (byte 15, bit-in-byte 3, MSB-first)","single bit 123 (byte 15, bit-in-byte 3, offset +0)",
bit_a124_d124_off+000,bit_positions,00000000000000000000000000000008,00000000000000000000000000000008,"single bit 124 (byte 15, bit-in-byte 4, MSB-first)","single bit 124 (byte 15, bit-in-byte 4, offset +0)",
bit_a125_d125_off+000,bit_positions,00000000000000000000000000000004,00000000000000000000000000000004,"single bit 125 (byte 15, bit-in-byte 5, MSB-first)","single bit 125 (byte 15, bit-in-byte 5, offset +0)",
bit_a126_d126_off+000,bit_positions,00000000000000000000000000000002,00000000000000000000000000000002,"single bit 126 (byte 15, bit-in-byte 6, MSB-first)","single bit 126 (byte 15, bit-in-byte 6, offset +0)",
bit_a127_d127_off+000,bit_positions,00000000000000000000000000000001,00000000000000000000000000000001,"single bit 127 (byte 15, bit-in-byte 7, MSB-first)","single bit 127 (byte 15, bit-in-byte 7, offset +0)",
bytepos_ab00_db00_a07_d10_off+00,byte_positions,07000000000000000000000000000000,10000000000000000000000000000000,"byte 0, value 0x07","byte 0, value 0x10, byte offset +0",
bytepos_ab01_db01_a07_d10_off+00,byte_positions,00070000000000000000000000000000,00100000000000000000000000000000,"byte 1, value 0x07","byte 1, value 0x10, byte offset +0",
bytepos_ab02_db02_a07_d10_off+00,byte_positions,00000700000000000000000000000000,00001000000000000000000000000000,"byte 2, value 0x07","byte 2, value 0x10, byte offset +0",
bytepos_ab03_db03_a07_d10_off+00,byte_positions,00000007000000000000000000000000,00000010000000000000000000000000,"byte 3, value 0x07","byte 3, value 0x10, byte offset +0",
bytepos_ab04_db04_a07_d10_off+00,byte_positions,00000000070000000000000000000000,00000000100000000000000000000000,"byte 4, value 0x07","byte 4, value 0x10, byte offset +0",
bytepos_ab05_db05_a07_d10_off+00,byte_positions,00000000000700000000000000000000,00000000001000000000000000000000,"byte 5, value 0x07","byte 5, value 0x10, byte offset +0",
bytepos_ab06_db06_a07_d10_off+00,byte_positions,00000000000007000000000000000000,00000000000010000000000000000000,"byte 6, value 0x07","byte 6, value 0x10, byte offset +0",
bytepos_ab07_db07_a07_d10_off+00,byte_positions,00000000000000070000000000000000,00000000000000100000000000000000,"byte 7, value 0x07","byte 7, value 0x10, byte offset +0",
bytepos_ab08_db08_a07_d10_off+00,byte_positions,00000000000000000700000000000000,00000000000000001000000000000000,"byte 8, value 0x07","byte 8, value 0x10, byte offset +0",
bytepos_ab09_db09_a07_d10_off+00,byte_positions,00000000000000000007000000000000,00000000000000000010000000000000,"byte 9, value 0x07","byte 9, value 0x10, byte offset +0",
bytepos_ab10_db10_a07_d10_off+00,byte_positions,00000000000000000000070000000000,00000000000000000000100000000000,"byte 10, value 0x07","byte 10, value 0x10, byte offset +0",
bytepos_ab11_db11_a07_d10_off+00,byte_positions,00000000000000000000000700000000,00000000000000000000001000000000,"byte 11, value 0x07","byte 11, value 0x10, byte offset +0",
bytepos_ab12_db12_a07_d10_off+00,byte_positions,00000000000000000000000007000000,00000000000000000000000010000000,"byte 12, value 0x07","byte 12, value 0x10, byte offset +0",
bytepos_ab13_db13_a07_d10_off+00,byte_positions,00000000000000000000000000070000,00000000000000000000000000100000,"byte 13, value 0x07","byte 13, value 0x10, byte offset +0",
bytepos_ab14_db14_a07_d10_off+00,byte_positions,00000000000000000000000000000700,00000000000000000000000000001000,"byte 14, value 0x07","byte 14, value 0x10, byte offset +0",
bytepos_ab15_db15_a07_d10_off+00,byte_positions,00000000000000000000000000000007,00000000000000000000000000000010,"byte 15, value 0x07","byte 15, value 0x10, byte offset +0",
